trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.intensity,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response,key_resp.corr,participant,session,date,expName,psychopyVersion,frameRate
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,70,0.047557608,0.0005938,196.7871812,196.7871812,197.086754,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,71,0.047557608,0.0006114,199.2847508,199.2847508,199.5842948,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,72,0.047557608,0.0006035,201.7989765,201.7989765,202.0983084,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,73,0.04753024,0.0006009,204.3464716,204.3464716,204.6460606,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,74,0.04753024,0.0006081,206.6607276,206.6607276,206.9602829,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,75,0.04753024,0.0006124,209.1915828,209.1915828,209.4911406,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,76,0.047502887,0.0006243,211.6892781,211.6892781,211.9888466,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,77,0.047502887,0.0006026,214.3531822,214.3531822,,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,78,0.047502887,0.0005794,216.6009887,216.6009887,216.9005852,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,79,0.04747555,0.0005916,219.1319652,219.1319652,219.4314076,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,80,0.04747555,0.0005898,221.6295016,221.6295016,221.9290726,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,81,0.04747555,0.000589,224.1602333,224.1602333,224.4599897,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,82,0.047448229,0.0006063,226.6079721,226.6079721,226.9075045,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,83,0.047448229,0.0005974,229.2387227,229.2387227,229.538312,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,84,0.047448229,0.0005966,231.602924,231.602924,231.9025227,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,85,0.047420923,0.0005793,234.2336718,234.2336718,234.5333609,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,86,0.047420923,0.0006055,236.5813727,236.5813727,236.8809645,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,87,0.047420923,0.0005908,239.0624007,239.0624007,239.3619489,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,88,0.047393633,0.0005838,241.4599749,241.4599749,,0,0,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,89,0.047420923,0.0005883,243.6910914,243.6910914,243.9906584,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,90,0.047420923,0.0006037,246.1055022,246.1055022,246.4049774,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,91,0.047420923,0.0005957,248.4698979,248.4698979,248.7693208,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,92,0.047393633,0.0005925,251.1004176,251.1004176,251.4001465,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,93,0.047393633,0.000591,253.5315734,253.5315734,253.8310042,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,94,0.047393633,0.00061,256.0122726,256.0122726,256.3120712,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,95,0.047366359,0.0006274,258.3935069,258.3935069,258.6930614,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,96,0.047366359,0.0005866,260.8744501,260.8744501,,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,97,0.047366359,0.0005877,263.1553274,263.1553274,263.4549938,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,98,0.047339101,0.0006139,265.6195379,265.6195379,265.9192932,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,99,0.047339101,0.0005924,268.1007914,268.1007914,268.4000502,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,100,0.047339101,0.0006202,270.8812537,270.8812537,271.1806637,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
